,OCFC
% Below High,0.0355
% Held by Institutions,0.7156999999999999
52-Wk Range,['18.24 - 24.25']
Annual Dividend $,0.8
Annual Dividend %,0.0342
Ask,29.93
Ask Size,100.0
Ask close,28.93
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,18.9
Bid Size,100.0
Bid close,17.98
Change Since Close,0.00| |(0.00%)
Closing Price,23.39
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-18 00:00:00
"EPS (TTM, GAAP)",1.9
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.244
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,23.39
Market Cap,1.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.31
Prev Close,23.39
Shares Outstanding,59.1M
Short Interest,0.018799999999999997
Today's Open,
Volume,1.0
Volume 10-day Avg,244964.0
Volume Past Day,(Light)
