,NAT
% Below High,0.1066
% Held by Institutions,0.36090000000000005
52-Wk Range,['1.40 - 3.94']
Annual Dividend $,0.12
Annual Dividend %,0.0341
Ask,3.56
Ask Size,2000.0
B/A Ratio,0.6
B/A Size,1200x2000
Beta,0.2
Bid,3.5
Bid Size,1200.0
Change Since Close,0.01| |(0.28%)
Closing Price,3.52
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-20 00:00:00
"EPS (TTM, GAAP)",-0.84
Ex-dividend,2022-12-05 00:00:00
Ex-dividend Date,12/05/22
Historical Volatility,0.812
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,3.53
Market Cap,737.1M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,3.52
Shares Outstanding,208.8M
Short Interest,0.046799999999999994
Today's Open,
Volume,3854.0
Volume 10-day Avg,5763463.0
Volume Past Day,(Light)
