,SWN
% Above Low,0.7874
% Held by Institutions,0.8279000000000001
52-Wk Range,['3.81 - 9.87']
Annual Dividend $,
Annual Dividend %,
Ask,6.81
Ask Size,38600.0
B/A Ratio,1.0621761658031088
B/A Size,41000x38600
Beta,1.2
Bid,6.8
Bid Size,41000.0
Day Change $,-0.35
Day Change %,-0.0489
Day High,7.01
Day Low,6.76
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.37
Ex-dividend Date,No dividend
Historical Volatility,0.649
Last (size),900.0
Last (time),3:46p ET 11/28/22
Market Cap,7.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",5.22
Prev Close,7.16
Price,6.81
Shares Outstanding,1.1B
Short Interest,0.0519
Today's Open,6.9
Volume Past Day,(Light)
