,DVAX
Price/Earnings (TTM),6.15388
Price/Sales (TTM),2.14712
Price/Book (MRQ),3.14507
Price/Cash Flow (TTM),4.7826
5yr Low,1.8
5yr High,22.8
5yr Avg Return,0.14946666666666666
EPS Growth 5yr,
Revenue Growth 5yr,1.089118
Dividend Growth 5yr,
Short Int Current Month,15733444.0
Short Int Prev Month,14400055.0
Short Int Pct of Float,0.1236308
Days to Cover,7.53078
Float,127.2159
Shares Outstanding,127.5849
Institutions Holding Shares,305.0
% Held by Institutions,0.865781
FCF Growth 5yr,-1.0025816931586686
