,DVAX
% Above Low,0.6997
% Held by Institutions,0.8658
52-Wk Range,['7.26 - 17.48']
Annual Dividend $,
Annual Dividend %,
Ask,12.61
Ask Size,200.0
B/A Ratio,3.0
B/A Size,600x200
Beta,1.3
Bid,12.35
Bid Size,600.0
Closing Price,12.34
Day Change $,-0.29
Day Change %,-0.023
Day High,12.61
Day Low,12.31
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.01
Ex-dividend Date,No dividend
Historical Volatility,0.66
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,1.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",6.15
Prev Close,12.63
Shares Outstanding,127.6M
Short Interest,0.12359999999999999
Today's Open,12.45
Volume,502675.0
Volume 10-day Avg,1648786.0
Volume Past Day,(Light)
