,AXNX
% Below High,0.1779
% Held by Institutions,1.0326
52-Wk Range,['38.41 - 79.92']
Annual Dividend $,
Annual Dividend %,
Ask,66.03
Ask Size,100.0
B/A Ratio,6.0
B/A Size,600x100
Beta,0.4
Bid,65.37
Bid Size,600.0
Closing Price,65.7
Day Change $,0.74
Day Change %,0.011399999999999999
Day High,66.0
Day Low,64.58
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.66
Ex-dividend Date,No dividend
Historical Volatility,0.609
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,3.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,64.96
Shares Outstanding,49.5M
Short Interest,0.0652
Today's Open,64.95
Volume,116357.0
Volume 10-day Avg,438724.0
Volume Past Day,(Light)
