,AXNX
Price/Earnings (TTM),
Price/Sales (TTM),13.50711
Price/Book (MRQ),5.91575
Price/Cash Flow (TTM),
5yr Low,11.95
5yr High,79.92
5yr Avg Return,0.37329999999999997
Short Int Current Month,3205230.0
Short Int Prev Month,3305568.0
Short Int Pct of Float,0.0652442
Days to Cover,4.79772
Float,47.10168
Shares Outstanding,49.52997
Institutions Holding Shares,312.0
% Held by Institutions,1.032646
FCF Growth 5yr,-0.3056312018753455
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
