,SHCR
Price/Earnings (TTM),
Price/Sales (TTM),1.45189
Price/Book (MRQ),1.1892
Price/Cash Flow (TTM),
5yr Low,1.38
5yr High,12.81
5yr Avg Return,-0.37623333333333336
Short Int Current Month,15206640.0
Short Int Prev Month,11367678.0
Short Int Pct of Float,0.054118000000000006
Days to Cover,7.79521
Float,317.8478
Shares Outstanding,353.52
Institutions Holding Shares,148.0
% Held by Institutions,0.449683
FCF Growth 5yr,0.5137071436271496
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
