,SHCR
% Above Low,0.2873
% Held by Institutions,0.4497
52-Wk Range,['1.38 - 6.54']
Annual Dividend $,
Annual Dividend %,
Ask,1.77
Ask Size,2100.0
B/A Ratio,0.7142857142857143
B/A Size,1500x2100
Beta,
Bid,1.77
Bid Size,1500.0
Day Change $,-0.03
Day Change %,-0.0167
Day High,1.81
Day Low,1.72
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.24
Ex-dividend Date,No dividend
Historical Volatility,0.8959999999999999
Last (size),100.0
Last (time),2:10p ET 11/28/22
Market Cap,624.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,1.8
Price,1.77
Shares Outstanding,353.5M
Short Interest,0.0541
Today's Open,1.78
Volume Past Day,(Light)
