,AVNW
Price/Earnings (TTM),28.06636
Price/Sales (TTM),1.17295
Price/Book (MRQ),1.79686
Price/Cash Flow (TTM),19.78993
5yr Low,3.55
5yr High,43.76
5yr Avg Return,0.35979999999999995
EPS Growth 5yr,
Revenue Growth 5yr,0.0460656
Dividend Growth 5yr,
Short Int Current Month,327375.0
Short Int Prev Month,309516.0
Short Int Pct of Float,0.0312263
Days to Cover,3.15305
Float,11.05726
Shares Outstanding,11.32011
Institutions Holding Shares,162.0
% Held by Institutions,0.746301
FCF Growth 5yr,-7.239569334807417
