,CTS
% Below High,0.071
% Held by Institutions,0.9653
52-Wk Range,['31.07 - 45.22']
Annual Dividend $,0.16
Annual Dividend %,0.0038
Ask,42.33
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.7
Bid,
Bid Size,
Closing Price,42.01
Day Change $,-0.23
Day Change %,-0.0054
Day High,42.38
Day Low,41.54
Dividend Pay Date,2023-01-13 00:00:00
"EPS (TTM, GAAP)",1.67
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.387
Last (size),15.0
Last (time),5:00p ET 11/25/22
Market Cap,1.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",25.17
Prev Close,42.24
Shares Outstanding,31.9M
Short Interest,0.0191
Today's Open,41.62
Volume,59677.0
Volume 10-day Avg,115069.0
Volume Past Day,(Light)
