,AYX
% Above Low,0.08410000000000001
% Held by Institutions,0.8432999999999999
52-Wk Range,['40.57 - 76.35']
Annual Dividend $,
Annual Dividend %,
Ask,47.2
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.6
Bid,39.0
Bid Size,100.0
Closing Price,43.98
Day Change $,-0.5
Day Change %,-0.011200000000000002
Day High,44.22
Day Low,43.37
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-4.76
Ex-dividend Date,No dividend
Historical Volatility,0.616
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,3.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,44.48
Shares Outstanding,69.1M
Short Interest,0.0501
Today's Open,43.86
Volume,172519.0
Volume 10-day Avg,822911.0
Volume Past Day,(Light)
