,AYX
Price/Earnings (TTM),
Price/Sales (TTM),4.17358
Price/Book (MRQ),19.40878
Price/Cash Flow (TTM),
5yr Low,23.95
5yr High,185.75
5yr Avg Return,0.23841666666666664
EPS Growth 5yr,
Revenue Growth 5yr,0.4426717
Dividend Growth 5yr,
Short Int Current Month,2981638.0
Short Int Prev Month,3131051.0
Short Int Pct of Float,0.0500743
Days to Cover,1.91836
Float,60.32707
Shares Outstanding,69.0928
Institutions Holding Shares,372.0
% Held by Institutions,0.8433240000000001
FCF Growth 5yr,75.05686359378505
