,LNC
% Above Low,0.19210000000000002
% Held by Institutions,0.7911
52-Wk Range,['32.59 - 76.40']
Annual Dividend $,1.8
Annual Dividend %,0.0463
Ask,38.99
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.8
Bid,38.0
Bid Size,100.0
Closing Price,38.85
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2023-02-01 00:00:00
"EPS (TTM, GAAP)",-11.67
Ex-dividend,2023-01-09 00:00:00
Ex-dividend Date,01/09/23
Historical Volatility,0.6020000000000001
Last (size),100.0
Last (time),5:00p ET 11/25/22
Market Cap,6.6B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,38.85
Shares Outstanding,169.2M
Short Interest,0.0269
Today's Open,
Volume,573475.0
Volume 10-day Avg,2502760.0
Volume Past Day,(Light)
