,LNC
Price/Earnings (TTM),
Price/Sales (TTM),0.34254
Price/Book (MRQ),2.96526
Price/Cash Flow (TTM),
5yr Low,16.11
5yr High,86.68
5yr Avg Return,-0.06560000000000002
EPS Growth 5yr,0.0926618
Revenue Growth 5yr,0.0740846
Dividend Growth 5yr,0.1093328
Short Int Current Month,4121960.0
Short Int Prev Month,3876434.0
Short Int Pct of Float,0.0269218
Days to Cover,1.07864
Float,153.1213
Shares Outstanding,169.2155
Institutions Holding Shares,853.0
% Held by Institutions,0.7911090000000001
FCF Growth 5yr,
