,HRL
Price/Earnings (TTM),27.06522
Price/Sales (TTM),2.13677
Price/Book (MRQ),3.66568
Price/Cash Flow (TTM),21.42812
5yr Low,31.71
5yr High,55.11
5yr Avg Return,0.06296666666666667
EPS Growth 5yr,0.0023066000000000002
Revenue Growth 5yr,0.0363797
Dividend Growth 5yr,0.11555910000000001
Short Int Current Month,9048522.0
Short Int Prev Month,9885609.0
Short Int Pct of Float,0.0315325
Days to Cover,6.21674
Float,287.1581
Shares Outstanding,546.1976
Institutions Holding Shares,927.0
% Held by Institutions,0.40555
FCF Growth 5yr,0.018824682512451767
