,HRL
% Below High,0.10339999999999999
% Held by Institutions,0.4056
52-Wk Range,['41.25 - 55.11']
Annual Dividend $,1.1
Annual Dividend %,0.0223
Ask,49.97
Ask Size,1200.0
B/A Ratio,0.08333333333333333
B/A Size,100x1200
Beta,0.2
Bid,47.87
Bid Size,100.0
Closing Price,49.41
Day Change $,0.26
Day Change %,0.0053
Day High,49.41
Day Low,48.98
Dividend Pay Date,2023-02-15 00:00:00
"EPS (TTM, GAAP)",1.83
Ex-dividend,2023-01-13 00:00:00
Ex-dividend Date,01/13/23
Historical Volatility,0.22399999999999998
Last (size),100.0
Last (time),5:00p ET 11/25/22
Market Cap,27.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",27.07
Prev Close,49.15
Shares Outstanding,546.2M
Short Interest,0.0315
Today's Open,49.25
Volume,783971.0
Volume 10-day Avg,1382949.0
Volume Past Day,(Light)
