,INO
% Above Low,0.4565
% Held by Institutions,0.4458
52-Wk Range,['1.38 - 7.77']
Annual Dividend $,
Annual Dividend %,
Ask,2.03
Ask Size,12500.0
B/A Ratio,0.28
B/A Size,3500x12500
Beta,1.0
Bid,2.02
Bid Size,3500.0
Closing Price,2.01
Day Change $,-0.04
Day Change %,-0.0195
Day High,2.07
Day Low,1.99
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.48
Ex-dividend Date,No dividend
Historical Volatility,0.9
Last (size),9.0
Last (time),1:00p ET 11/25/22
Market Cap,501.5M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,2.05
Shares Outstanding,249.5M
Short Interest,0.18789999999999998
Today's Open,2.01
Volume,2140874.0
Volume 10-day Avg,6302687.0
Volume Past Day,(Light)
