,INO
Price/Earnings (TTM),
Price/Sales (TTM),45.68518
Price/Book (MRQ),1.88028
Price/Cash Flow (TTM),
5yr Low,1.38
5yr High,33.79
5yr Avg Return,0.03948333333333334
EPS Growth 5yr,
Revenue Growth 5yr,-0.45032629999999996
Dividend Growth 5yr,
Short Int Current Month,46146857.0
Short Int Prev Month,43674448.0
Short Int Pct of Float,0.18790130000000002
Days to Cover,6.14274
Float,245.6774
Shares Outstanding,249.4893
Institutions Holding Shares,238.0
% Held by Institutions,0.445841
FCF Growth 5yr,0.23683063574645027
