,FGEN
% Below High,0.24359999999999998
% Held by Institutions,0.7633
52-Wk Range,['7.81 - 18.31']
Annual Dividend $,
Annual Dividend %,
Ask,15.8
Ask Size,4000.0
B/A Ratio,0.075
B/A Size,300x4000
Beta,0.9
Bid,13.86
Bid Size,300.0
Closing Price,13.85
Day Change $,-0.13
Day Change %,-0.009300000000000001
Day High,14.03
Day Low,13.55
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.88
Ex-dividend Date,No dividend
Historical Volatility,0.652
Last (size),42.0
Last (time),1:00p ET 11/25/22
Market Cap,1.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,13.98
Shares Outstanding,94.0M
Short Interest,0.07730000000000001
Today's Open,13.86
Volume,280678.0
Volume 10-day Avg,536193.0
Volume Past Day,(Light)
