,FGEN
Price/Earnings (TTM),
Price/Sales (TTM),10.58745
Price/Book (MRQ),49.45691
Price/Cash Flow (TTM),
5yr Low,7.81
5yr High,68.55
5yr Avg Return,-0.14698333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.0513512
Dividend Growth 5yr,
Short Int Current Month,6689048.0
Short Int Prev Month,6482700.0
Short Int Pct of Float,0.07732990000000001
Days to Cover,8.98155
Float,86.49036
Shares Outstanding,93.95769
Institutions Holding Shares,214.0
% Held by Institutions,0.763264
FCF Growth 5yr,0.2723544973544973
