,FGEN
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.008571428571428452
Growth 2yr High Est,-0.7587412587412588
Growth 2yr Consensus Est,-0.37508491508491515
Growth 5yr Low Est,0.008571428571428452
Growth 5yr High Est,-0.7587412587412588
Growth 5yr Consensus Est,-0.37508491508491515
Growth 5yr Actual/Est,0.39919911396912044
Growth 3yr Historic,0.46473454390542623
