,ROVR
% Above Low,0.47450000000000003
% Held by Institutions,0.8417
52-Wk Range,['3.14 - 11.84']
Annual Dividend $,
Annual Dividend %,
Ask,4.63
Ask Size,400.0
B/A Ratio,1.25
B/A Size,500x400
Beta,
Bid,4.61
Bid Size,500.0
Day Change $,-0.04
Day Change %,-0.0086
Day High,4.72
Day Low,4.59
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.04
Ex-dividend Date,No dividend
Historical Volatility,0.6950000000000001
Last (size),100.0
Last (time),1:11p ET 11/28/22
Market Cap,850.8M
"P/E Ratio (TTM, GAAP)",111.67
Prev Close,4.67
Price,4.63
Shares Outstanding,183.8M
Short Interest,0.0385
Today's Open,4.72
Volume Past Day,(Light)
