,ROVR
Price/Earnings (TTM),111.6691
Price/Sales (TTM),5.36112
Price/Book (MRQ),2.89304
Price/Cash Flow (TTM),41.94376
5yr Low,3.14
5yr High,15.59
5yr Avg Return,-0.39114999999999994
Short Int Current Month,5658874.0
Short Int Prev Month,7456092.0
Short Int Pct of Float,0.038532000000000004
Days to Cover,4.41411
Float,164.2673
Shares Outstanding,183.7532
Institutions Holding Shares,130.0
% Held by Institutions,0.841698
FCF Growth 5yr,-2.5771722758649256
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
