,OII
Price/Earnings (TTM),
Price/Sales (TTM),0.74571
Price/Book (MRQ),3.15947
Price/Cash Flow (TTM),16.33967
5yr Low,2.01
5yr High,28.62
5yr Avg Return,0.029833333333333337
EPS Growth 5yr,
Revenue Growth 5yr,-0.0382368
Dividend Growth 5yr,
Short Int Current Month,2505413.0
Short Int Prev Month,3499861.0
Short Int Pct of Float,0.025558800000000003
Days to Cover,2.35374
Float,98.11739
Shares Outstanding,100.2595
Institutions Holding Shares,265.0
% Held by Institutions,0.91023
FCF Growth 5yr,-0.4599249237065341
