,OII
% Below High,0.1841
% Held by Institutions,0.9102
52-Wk Range,['7.25 - 18.20']
Annual Dividend $,
Annual Dividend %,
Ask,14.4
Ask Size,5600.0
B/A Ratio,0.017857142857142856
B/A Size,100x5600
Beta,2.9
Bid,13.89
Bid Size,100.0
Change Since Close,-0.33| |(-2.22%)
Closing Price,14.85
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.36
Ex-dividend Date,No dividend
Historical Volatility,0.645
Last (size),35.0
Last (time),5:00p ET 11/25/22
Last Trade,14.52
Market Cap,1.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,14.85
Shares Outstanding,100.3M
Short Interest,0.0256
Today's Open,
Volume,36.0
Volume 10-day Avg,1040077.0
Volume Past Day,(Light)
