,ONEW
Price/Earnings (TTM),3.44096
Price/Sales (TTM),0.28167
Price/Book (MRQ),1.27544
Price/Cash Flow (TTM),2.91696
5yr Low,3.41
5yr High,62.79
5yr Avg Return,0.49610000000000004
EPS Growth 5yr,
Revenue Growth 5yr,0.3483656
Dividend Growth 5yr,
Short Int Current Month,478231.0
Short Int Prev Month,532817.0
Short Int Pct of Float,0.0491614
Days to Cover,7.26342
Float,9.69806
Shares Outstanding,15.64156
Institutions Holding Shares,150.0
% Held by Institutions,0.6511520000000001
FCF Growth 5yr,0.23480020361399379
