,ONEW
% Above Low,0.113
% Held by Institutions,0.6512
52-Wk Range,['28.23 - 62.79']
Annual Dividend $,
Annual Dividend %,
Ask,32.2
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,30.19
Bid Size,100.0
Closing Price,31.42
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",9.13
Ex-dividend Date,No dividend
Historical Volatility,0.521
Last (size),17.0
Last (time),12:58p ET 11/25/22
Market Cap,447.0M
"P/E Ratio (TTM, GAAP)",3.44
Prev Close,31.42
Shares Outstanding,14.2M
Short Interest,0.0492
Today's Open,
Volume,16005.0
Volume 10-day Avg,77096.0
Volume Past Day,(Light)
