,ANF
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-1.0599078341013826
Growth 1yr High Est,-0.06652360515021472
Growth 1yr Consensus Est,-0.5632157196257986
Growth 2yr Low Est,-2.914569301666076
Growth 2yr High Est,-0.3367100784371763
Growth 2yr Consensus Est,-1.6256396900516261
Growth 5yr Low Est,-2.914569301666076
Growth 5yr High Est,-0.3367100784371763
Growth 5yr Consensus Est,-1.6256396900516261
Growth 5yr Actual/Est,-2.33028431967969
Growth 3yr Historic,-2.23972602739726
