,ANF
Price/Earnings (TTM),57.80361
Price/Sales (TTM),0.32124
Price/Book (MRQ),1.81967
Price/Cash Flow (TTM),6.86186
5yr Low,7.42
5yr High,48.97
5yr Avg Return,0.10238333333333331
EPS Growth 5yr,1.355314
Revenue Growth 5yr,0.022199800000000002
Dividend Growth 5yr,
Short Int Current Month,4012195.0
Short Int Prev Month,5122167.0
Short Int Pct of Float,0.083345
Days to Cover,3.17549
Float,48.12542
Shares Outstanding,49.45362
Institutions Holding Shares,280.0
% Held by Institutions,1.01092
FCF Growth 5yr,-0.5736552961688253
