,ANF
% Above Low,0.6954000000000001
% Held by Institutions,1.0109000000000001
52-Wk Range,['14.02 - 42.09']
Annual Dividend $,
Annual Dividend %,
Ask,24.2
Ask Size,100.0
B/A Ratio,23.0
B/A Size,2300x100
Beta,1.4
Bid,23.55
Bid Size,2300.0
Closing Price,23.77
Day Change $,-0.21
Day Change %,-0.0088
Day High,24.51
Day Low,23.7
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.41
Ex-dividend Date,No dividend
Historical Volatility,0.7120000000000001
Last (size),200.0
Last (time),5:00p ET 11/25/22
Market Cap,1.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",57.8
Prev Close,23.98
Shares Outstanding,49.5M
Short Interest,0.0833
Today's Open,24.21
Volume,1527966.0
Volume 10-day Avg,2575972.0
Volume Past Day,(Light)
