,STLD
Price/Earnings (TTM),4.58557
Price/Sales (TTM),0.80263
Price/Book (MRQ),2.30319
Price/Cash Flow (TTM),3.88059
5yr Low,14.98
5yr High,106.78
5yr Avg Return,0.2305333333333333
EPS Growth 5yr,0.5844498
Revenue Growth 5yr,0.1880691
Dividend Growth 5yr,0.083173
Short Int Current Month,5539909.0
Short Int Prev Month,5582233.0
Short Int Pct of Float,0.0335521
Days to Cover,3.76143
Float,165.2801
Shares Outstanding,175.5714
Institutions Holding Shares,870.0
% Held by Institutions,0.842106
FCF Growth 5yr,0.5525771071883752
