,STLD
% Below High,0.0408
% Held by Institutions,0.8421
52-Wk Range,['50.54 - 106.78']
Annual Dividend $,1.36
Annual Dividend %,0.0131
Ask,102.45
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.5
Bid,102.41
Bid Size,500.0
Day Change $,-1.56
Day Change %,-0.015
Day High,104.78
Day Low,101.77
Dividend Pay Date,2023-01-13 00:00:00
"EPS (TTM, GAAP)",22.68
Ex-dividend,2022-12-29 00:00:00
Ex-dividend Date,12/29/22
Historical Volatility,0.456
Last (size),100.0
Last (time),3:30p ET 11/28/22
Market Cap,18.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",4.59
Prev Close,103.98
Price,102.42
Shares Outstanding,175.6M
Short Interest,0.0336
Today's Open,102.58
Volume Past Day,(Light)
