,CIVI
% Below High,0.1928
% Held by Institutions,1.0244
52-Wk Range,['44.17 - 84.76']
Annual Dividend $,2.0
Annual Dividend %,0.0292
Ask,71.2
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.7
Bid,58.0
Bid Size,200.0
Closing Price,68.42
Day Change $,0.4
Day Change %,0.0059
Day High,69.49
Day Low,68.28
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",13.72
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.569
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,5.8B
"P/E Ratio (TTM, GAAP)",4.99
Prev Close,68.02
Shares Outstanding,85.1M
Short Interest,0.0434
Today's Open,68.49
Volume,166762.0
Volume 10-day Avg,433609.0
Volume Past Day,(Light)
