,CIVI
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,1.4723247232472327
Growth 1yr High Est,1.3519108280254777
Growth 1yr Consensus Est,1.4121177756363552
Growth 2yr Low Est,0.6842966899818252
Growth 2yr High Est,0.6468423469849799
Growth 2yr Consensus Est,0.6655695184834025
Growth 5yr Low Est,0.3421483449909126
Growth 5yr High Est,0.32342117349248994
Growth 5yr Consensus Est,0.3327847592417013
Growth 5yr Actual/Est,0.7943322678216191
Growth 3yr Historic,-0.12991803278688524
