,CIVI
Price/Earnings (TTM),4.98585
Price/Sales (TTM),1.66972
Price/Book (MRQ),1.10838
Price/Cash Flow (TTM),3.11596
5yr Low,8.25
5yr High,84.76
5yr Avg Return,0.2626833333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.3665191
Dividend Growth 5yr,
Short Int Current Month,3661982.0
Short Int Prev Month,4149103.0
Short Int Pct of Float,0.0434215
Days to Cover,5.21901
Float,84.37092
Shares Outstanding,85.1108
Institutions Holding Shares,367.0
% Held by Institutions,1.02439
FCF Growth 5yr,-6.231658182850434
