,MUSA
Price/Earnings (TTM),10.78483
Price/Sales (TTM),0.28916
Price/Book (MRQ),8.62465
Price/Cash Flow (TTM),7.47678
5yr Low,61.05
5yr High,323.0
5yr Avg Return,0.2772333333333333
EPS Growth 5yr,0.2170688
Revenue Growth 5yr,0.0840808
Dividend Growth 5yr,
Short Int Current Month,2870928.0
Short Int Prev Month,2804311.0
Short Int Pct of Float,0.1394494
Days to Cover,10.05463
Float,20.60562
Shares Outstanding,22.594
Institutions Holding Shares,514.0
% Held by Institutions,0.855943
FCF Growth 5yr,0.14125727319275708
