,MUSA
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.9186813186813187
Growth 1yr High Est,0.943820224719101
Growth 1yr Consensus Est,0.9312507717002099
Growth 2yr Low Est,0.25525513051286247
Growth 2yr High Est,0.3535830127335729
Growth 2yr Consensus Est,0.3044190716232177
Growth 5yr Low Est,0.5033871457719659
Growth 5yr High Est,0.5500187709189542
Growth 5yr Consensus Est,0.5267029583454601
Growth 5yr Actual/Est,0.5551550920641357
Growth 3yr Historic,0.4246778931617364
