,MUSA
% Below High,0.0947
% Held by Institutions,0.8559
52-Wk Range,['164.30 - 323.00']
Annual Dividend $,1.4
Annual Dividend %,0.0048
Ask,295.84
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,0.9
Bid,291.2
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,292.4
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",27.11
Ex-dividend,2022-11-07 00:00:00
Ex-dividend Date,11/07/22
Historical Volatility,0.324
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,292.4
Market Cap,6.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.78
Prev Close,292.4
Shares Outstanding,22.6M
Short Interest,0.1394
Today's Open,
Volume,11.0
Volume 10-day Avg,276115.0
Volume Past Day,(Light)
