,SFL
Price/Earnings (TTM),6.09987
Price/Sales (TTM),2.02586
Price/Book (MRQ),1.18113
Price/Cash Flow (TTM),2.96021
5yr Low,5.85
5yr High,15.98
5yr Avg Return,-0.008366666666666672
EPS Growth 5yr,-0.0466025
Revenue Growth 5yr,0.044505600000000006
Dividend Growth 5yr,-0.18938690000000002
Short Int Current Month,2737459.0
Short Int Prev Month,2666889.0
Short Int Pct of Float,0.0294427
Days to Cover,3.01567
Float,92.9758
Shares Outstanding,126.7963
Institutions Holding Shares,210.0
% Held by Institutions,0.372086
FCF Growth 5yr,0.7223214285714284
