,SFL
% Below High,0.1542
% Held by Institutions,0.3721
52-Wk Range,['7.64 - 11.60']
Annual Dividend $,0.92
Annual Dividend %,0.0922
Ask,9.81
Ask Size,1400.0
B/A Ratio,0.8571428571428571
B/A Size,1200x1400
Beta,0.8
Bid,9.8
Bid Size,1200.0
Day Change $,-0.17
Day Change %,-0.017
Day High,9.94
Day Low,9.78
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",1.64
Ex-dividend,2022-12-13 00:00:00
Ex-dividend Date,12/13/22
Historical Volatility,0.336
Last (size),100.0
Last (time),2:02p ET 11/28/22
Market Cap,1.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",6.1
Prev Close,9.98
Price,9.81
Shares Outstanding,138.6M
Short Interest,0.0294
Today's Open,9.94
Volume Past Day,(Light)
