,SFL
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.7469879518072289
Growth 1yr High Est,0.7608695652173914
Growth 1yr Consensus Est,0.7539287585123101
Growth 2yr Low Est,-0.005816368923971749
Growth 2yr High Est,0.26006441223832527
Growth 2yr Consensus Est,0.12712402165717676
Growth 5yr Low Est,-0.0029081844619858743
Growth 5yr High Est,0.13003220611916264
Growth 5yr Consensus Est,0.06356201082858838
Growth 5yr Actual/Est,-1.347121230018112
Growth 3yr Historic,-1.2798990077958896
