,NG
% Above Low,0.40890000000000004
% Held by Institutions,0.569
52-Wk Range,['4.06 - 8.36']
Annual Dividend $,
Annual Dividend %,
Ask,5.75
Ask Size,500.0
B/A Ratio,1.2
B/A Size,600x500
Beta,0.5
Bid,5.2
Bid Size,600.0
Change Since Close,-0.06| |(-1.05%)
Closing Price,5.72
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.21
Ex-dividend Date,No dividend
Historical Volatility,0.49600000000000005
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,5.66
Market Cap,1.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,5.72
Shares Outstanding,333.4M
Short Interest,0.0359
Today's Open,
Volume,2.0
Volume 10-day Avg,1354365.0
Volume Past Day,(Light)
