,ACVA
% Above Low,0.2836
% Held by Institutions,0.9384
52-Wk Range,['6.10 - 22.27']
Annual Dividend $,
Annual Dividend %,
Ask,7.99
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,7.03
Bid Size,100.0
Closing Price,7.83
Day Change $,0.05
Day Change %,0.0064
Day High,7.85
Day Low,7.58
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.66
Ex-dividend Date,No dividend
Historical Volatility,0.7320000000000001
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,1.2B
"P/E Ratio (TTM, GAAP)",
Prev Close,7.78
Shares Outstanding,158.2M
Short Interest,0.0611
Today's Open,7.67
Volume,323150.0
Volume 10-day Avg,1225911.0
Volume Past Day,(Light)
