,TBK
% Above Low,0.25370000000000004
% Held by Institutions,0.846
52-Wk Range,['46.03 - 136.02']
Annual Dividend $,
Annual Dividend %,
Ask,57.95
Ask Size,100.0
Ask close,74.22
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,54.46
Bid Size,100.0
Bid close,46.56
Change Since Close,-0.02| |(-0.03%)
Closing Price,57.71
Day Change $,-3.2
Day Change %,-0.0525
Day High,60.47
Day Low,57.11
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.31
Ex-dividend Date,No dividend
Historical Volatility,0.514
Last (size),100.0
Last (time),3:59p ET 11/28/22
Last Trade,57.69
Market Cap,1.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",14.14
Prev Close,60.91
Shares Outstanding,24.5M
Short Interest,0.06309999999999999
Today's Open,60.47
Volume,235333.0
Volume 10-day Avg,199417.0
Volume Past Day,(Above Average)
