,TBK
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.05980861244019131
Growth 1yr High Est,-0.11622807017543846
Growth 1yr Consensus Est,-0.08801834130781488
Growth 2yr Low Est,-0.19148191436258927
Growth 2yr High Est,-0.17970212441774408
Growth 2yr Consensus Est,-0.18559201939016667
Growth 5yr Low Est,0.13582586309520303
Growth 5yr High Est,0.17366245130464134
Growth 5yr Consensus Est,0.15474415719992218
Growth 5yr Actual/Est,0.11431175610611019
Growth 3yr Historic,0.2109530083443127
