,EVTC
% Above Low,0.0755
% Held by Institutions,0.9815
52-Wk Range,['30.72 - 51.06']
Annual Dividend $,0.2
Annual Dividend %,0.0060999999999999995
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.0
Bid,13.18
Bid Size,
Closing Price,33.04
Day Change $,0.09
Day Change %,0.0027
Day High,33.19
Day Low,32.73
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",3.62
Ex-dividend,2022-10-31 00:00:00
Ex-dividend Date,10/31/22
Historical Volatility,0.311
Last (size),30.0
Last (time),5:00p ET 11/25/22
Market Cap,2.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.13
Prev Close,32.95
Shares Outstanding,65.2M
Short Interest,0.013999999999999999
Today's Open,33.02
Volume,161140.0
Volume 10-day Avg,271113.0
Volume Past Day,(Light)
