,EVTC
Price/Earnings (TTM),9.13214
Price/Sales (TTM),3.52088
Price/Book (MRQ),4.79636
Price/Cash Flow (TTM),6.55057
5yr Low,12.88
5yr High,51.06
5yr Avg Return,0.22641666666666668
EPS Growth 5yr,0.17026789999999997
Revenue Growth 5yr,0.086519
Dividend Growth 5yr,-0.12944940000000002
Short Int Current Month,910498.0
Short Int Prev Month,1101388.0
Short Int Pct of Float,0.014037200000000001
Days to Cover,2.58332
Float,64.87686
Shares Outstanding,65.2022
Institutions Holding Shares,337.0
% Held by Institutions,0.9814660000000001
FCF Growth 5yr,0.03588633467816157
