,CVI
% Below High,0.0805
% Held by Institutions,0.9695999999999999
52-Wk Range,['14.51 - 43.61']
Annual Dividend $,1.6
Annual Dividend %,0.039900000000000005
Ask,43.65
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.5
Bid,39.5
Bid Size,300.0
Closing Price,40.1
Day Change $,0.19
Day Change %,0.0048
Day High,41.01
Day Low,39.91
Dividend Pay Date,2022-11-21 00:00:00
"EPS (TTM, GAAP)",3.36
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.649
Last (size),8.0
Last (time),5:00p ET 11/25/22
Market Cap,4.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.92
Prev Close,39.91
Shares Outstanding,100.5M
Short Interest,0.0197
Today's Open,40.03
Volume,279722.0
Volume 10-day Avg,756910.0
Volume Past Day,(Light)
