,CVI
Price/Earnings (TTM),11.92324
Price/Sales (TTM),0.39029
Price/Book (MRQ),7.19871
Price/Cash Flow (TTM),5.12885
5yr Low,9.81
5yr High,55.52
5yr Avg Return,0.1887333333333333
EPS Growth 5yr,-0.0288829
Revenue Growth 5yr,0.08655020000000001
Dividend Growth 5yr,-0.27522030000000003
Short Int Current Month,1982823.0
Short Int Prev Month,2170387.0
Short Int Pct of Float,0.0197249
Days to Cover,2.12874
Float,100.5236
Shares Outstanding,100.5306
Institutions Holding Shares,246.0
% Held by Institutions,0.969615
FCF Growth 5yr,0.6095162014740074
