,IR
Price/Earnings (TTM),39.93213
Price/Sales (TTM),3.78736
Price/Book (MRQ),2.47185
Price/Cash Flow (TTM),21.52137
5yr Low,17.01
5yr High,62.64
5yr Avg Return,0.1615833333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.21581309999999998
Dividend Growth 5yr,
Short Int Current Month,10233880.0
Short Int Prev Month,8116290.0
Short Int Pct of Float,0.025325
Days to Cover,2.98001
Float,404.1285
Shares Outstanding,404.9258
Institutions Holding Shares,831.0
% Held by Institutions,1.019106
FCF Growth 5yr,2.0751919427191168
