,CRBU
Price/Earnings (TTM),
Price/Sales (TTM),41.96915
Price/Book (MRQ),1.64644
Price/Cash Flow (TTM),
5yr Low,4.89
5yr High,32.65
5yr Avg Return,-0.28355
Short Int Current Month,3284927.0
Short Int Prev Month,3620586.0
Short Int Pct of Float,0.0603468
Days to Cover,6.85405
Float,54.43416
Shares Outstanding,61.00156
Institutions Holding Shares,157.0
% Held by Institutions,0.6849930000000001
FCF Growth 5yr,0.41541914548911957
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
