,CRBU
% Above Low,0.7894
% Held by Institutions,0.685
52-Wk Range,['4.89 - 19.61']
Annual Dividend $,
Annual Dividend %,
Ask,8.93
Ask Size,1100.0
B/A Ratio,0.5454545454545454
B/A Size,600x1100
Beta,
Bid,8.6
Bid Size,600.0
Closing Price,8.75
Day Change $,-0.04
Day Change %,-0.0046
Day High,8.88
Day Low,8.63
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.5
Ex-dividend Date,No dividend
Historical Volatility,0.85
Last (size),2.0
Last (time),12:59p ET 11/25/22
Market Cap,534.4M
"P/E Ratio (TTM, GAAP)",
Prev Close,8.79
Shares Outstanding,61.0M
Short Interest,0.0603
Today's Open,8.71
Volume,261384.0
Volume 10-day Avg,423894.0
Volume Past Day,(Light)
