,HUBG
% Below High,0.0797
% Held by Institutions,0.9754999999999999
52-Wk Range,['60.81 - 89.62']
Annual Dividend $,
Annual Dividend %,
Ask,82.93
Ask Size,400.0
B/A Ratio,3.5
B/A Size,1400x400
Beta,0.9
Bid,82.01
Bid Size,1400.0
Closing Price,82.47
Day Change $,0.07
Day Change %,0.0008
Day High,83.06
Day Low,82.27
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",10.69
Ex-dividend Date,No dividend
Historical Volatility,0.365
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,2.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.72
Prev Close,82.4
Shares Outstanding,33.2M
Short Interest,0.021099999999999997
Today's Open,82.77
Volume,71798.0
Volume 10-day Avg,186615.0
Volume Past Day,(Light)
