,HUBG
Price/Earnings (TTM),7.71562
Price/Sales (TTM),0.51595
Price/Book (MRQ),1.80722
Price/Cash Flow (TTM),5.39379
5yr Low,34.02
5yr High,89.62
5yr Avg Return,0.12319999999999999
EPS Growth 5yr,0.2440321
Revenue Growth 5yr,0.0900245
Dividend Growth 5yr,
Short Int Current Month,675606.0
Short Int Prev Month,936715.0
Short Int Pct of Float,0.0211391
Days to Cover,3.40106
Float,31.94673
Shares Outstanding,33.22938
Institutions Holding Shares,333.0
% Held by Institutions,0.975495
FCF Growth 5yr,0.47331999755330495
