,HUBG
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,2.125
Growth 1yr High Est,2.164705882352941
Growth 1yr Consensus Est,2.1448529411764703
Growth 2yr Low Est,0.8672619047619048
Growth 2yr High Est,0.9726875136671769
Growth 2yr Consensus Est,0.9199747092145408
Growth 5yr Low Est,0.4336309523809524
Growth 5yr High Est,0.48634375683358844
Growth 5yr Consensus Est,0.45998735460727036
Growth 5yr Actual/Est,0.41776764188854487
Growth 3yr Historic,0.21474736349019458
