,RJF
% Below High,0.0708
% Held by Institutions,0.7605
52-Wk Range,['84.86 - 126.00']
Annual Dividend $,1.36
Annual Dividend %,0.011399999999999999
Ask,117.1
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.1
Bid,117.06
Bid Size,100.0
Day Change $,-2.48
Day Change %,-0.0207
Day High,118.2
Day Low,116.68
Dividend Pay Date,2022-10-17 00:00:00
"EPS (TTM, GAAP)",6.98
Ex-dividend,2022-09-30 00:00:00
Ex-dividend Date,09/30/22
Historical Volatility,0.34600000000000003
Last (size),100.0
Last (time),12:50p ET 11/28/22
Market Cap,25.2B
"P/E Ratio (TTM, GAAP)",17.13
Prev Close,119.56
Price,117.08
Shares Outstanding,215.1M
Short Interest,0.0166
Today's Open,117.63
Volume Past Day,(Average)
