,HSC
Price/Earnings (TTM),
Price/Sales (TTM),0.34846
Price/Book (MRQ),0.98631
Price/Cash Flow (TTM),10.64279
5yr Low,3.73
5yr High,30.05
5yr Avg Return,-0.1
EPS Growth 5yr,
Revenue Growth 5yr,0.049572200000000004
Dividend Growth 5yr,
Short Int Current Month,3359843.0
Short Int Prev Month,4078840.0
Short Int Pct of Float,0.043121900000000005
Days to Cover,3.13994
Float,77.97529
Shares Outstanding,79.47463
Institutions Holding Shares,247.0
% Held by Institutions,0.9827030000000001
FCF Growth 5yr,-0.8417220498398003
