,HSC
% Above Low,0.9115000000000001
% Held by Institutions,0.9826999999999999
52-Wk Range,['3.73 - 17.69']
Annual Dividend $,
Annual Dividend %,
Ask,8.04
Ask Size,1500.0
B/A Ratio,0.26666666666666666
B/A Size,400x1500
Beta,1.9
Bid,7.0
Bid Size,400.0
Closing Price,7.13
Day Change $,-0.09
Day Change %,-0.0125
Day High,7.41
Day Low,7.12
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.46
Ex-dividend Date,No dividend
Historical Volatility,0.716
Last (size),6.0
Last (time),5:00p ET 11/25/22
Market Cap,565.9M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,7.22
Shares Outstanding,79.5M
Short Interest,0.0431
Today's Open,7.25
Volume,272410.0
Volume 10-day Avg,728404.0
Volume Past Day,(Light)
