,HSC
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.9545454545454546
Growth 1yr High Est,-0.86
Growth 1yr Consensus Est,-0.9072727272727272
Growth 2yr Low Est,1.2727272727272727
Growth 2yr High Est,1.6414285714285712
Growth 2yr Consensus Est,1.457077922077922
Growth 5yr Low Est,0.8484848484848485
Growth 5yr High Est,1.094285714285714
Growth 5yr Consensus Est,0.9713852813852814
Growth 5yr Actual/Est,1.12764468106083
Growth 3yr Historic,-0.011848072562358286
