,SBCF
% Above Low,0.1532
% Held by Institutions,0.8734000000000001
52-Wk Range,['29.05 - 39.31']
Annual Dividend $,0.68
Annual Dividend %,0.02
Ask,33.52
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.1
Bid,33.5
Bid Size,100.0
Day Change $,-0.51
Day Change %,-0.015
Day High,34.0
Day Low,33.44
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",1.95
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.304
Last (size),1.0
Last (time),1:41p ET 11/28/22
Market Cap,2.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.44
Prev Close,34.01
Price,33.5
Shares Outstanding,61.5M
Short Interest,0.058600000000000006
Today's Open,33.84
Volume Past Day,(Light)
