,SBCF
Price/Earnings (TTM),17.44156
Price/Sales (TTM),5.41818
Price/Book (MRQ),1.62355
Price/Cash Flow (TTM),16.06314
5yr Low,13.3
5yr High,40.93
5yr Avg Return,0.05121666666666667
EPS Growth 5yr,0.2285695
Revenue Growth 5yr,0.1393408
Dividend Growth 5yr,
Short Int Current Month,3530435.0
Short Int Prev Month,3746616.0
Short Int Pct of Float,0.058578599999999995
Days to Cover,6.45412
Float,60.62454
Shares Outstanding,61.47633
Institutions Holding Shares,304.0
% Held by Institutions,0.8734059999999999
FCF Growth 5yr,0.1793092616259806
