,ALGT
Price/Earnings (TTM),
Price/Sales (TTM),0.68003
Price/Book (MRQ),1.24438
Price/Cash Flow (TTM),9.70348
5yr Low,60.06
5yr High,271.29
5yr Avg Return,0.004349999999999999
EPS Growth 5yr,-0.0815579
Revenue Growth 5yr,0.0437195
Dividend Growth 5yr,
Short Int Current Month,689879.0
Short Int Prev Month,739392.0
Short Int Pct of Float,0.04445229999999999
Days to Cover,2.48973
Float,15.58316
Shares Outstanding,18.39857
Institutions Holding Shares,288.0
% Held by Institutions,0.871138
FCF Growth 5yr,-2.006249159926311
