,ALGT
% Above Low,0.2675
% Held by Institutions,0.8711
52-Wk Range,['63.78 - 196.67']
Annual Dividend $,
Annual Dividend %,
Ask,93.65
Ask Size,200.0
B/A Ratio,2.5
B/A Size,500x200
Beta,1.5
Bid,77.77
Bid Size,500.0
Closing Price,80.84
Day Change $,0.22
Day Change %,0.0027
Day High,81.7
Day Low,79.99
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.19
Ex-dividend Date,No dividend
Historical Volatility,0.506
Last (size),18.0
Last (time),1:00p ET 11/25/22
Market Cap,1.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,80.62
Shares Outstanding,18.4M
Short Interest,0.044500000000000005
Today's Open,80.5
Volume,82101.0
Volume 10-day Avg,218908.0
Volume Past Day,(Light)
